Academy High School, Thornton
The Joshua School, Englewood
Vista Peak 9-12 Preparatory, Aurora
William Smith High School, Aurora
Pagosa Springs High School, Pagosa Springs
Campo Undivided High School, Campo
Pritchett High School, Pritchett
Springfield High School, Springfield
Vilas Undivided High School, Vilas
Walsh High School, Walsh
Las Animas High School, Las Animas
McClave High School, McClave
Adult Education/Lincoln Center, Longmont
Alexander Dawson School, Lafayette
Apex Home School Enrichment Program, Niwot
Arapahoe Ridge High School, Boulder
Boulder Explore, Boulder
Boulder High School, Boulder
Boulder Prep Charter High School, Boulder
Boulder Universal, Boulder
Catalyst High School, Lafayette
Centaurus High School, Lafayette
Desiderata School, Longmont
Fairview High School, Boulder
Faith Baptist School, Longmont
Halcyon School (special Education), Boulder
Hillside School, Boulder
Justice High Charter School, Lafayette
Longmont Christian School, Longmont
Longmont High School, Longmont
Lyons High School, Lyons
Messiahville Baptist Academy, Longmont
Monarch High School, Louisville
Mountain Shadows Montessori School, Boulder
Nederland High School, Nederland
New Vista High School, Boulder
Niwot High School, Niwot
Olde Columbine High School, Longmont
Peak To Peak Charter School, Lafayette
September School, Boulder
Shining Mountain Waldorf School, Boulder
Silver Creek High School, Longmont
Skyline High School, Longmont
St. Vrain Global Online Academy, Longmont
Tara Performing Arts High School, Boulder
Twin Peaks Charter Academy, Longmont
Watershed School, Boulder
Broomfield High School, Broomfield
Holy Family High School, Broomfield
Legacy High School, Broomfield
Prospect Ridge Academy, Broomfield
Buena Vista High School, Buena Vista
Buena Vista Online Academy, Buena Vista
Chaffee County High School, Buena Vista
Darren Patterson Christian Academy, Buena Vista
Horizons Exploratory Academy, Salida
Salida High School, Salida
The Link School, Buena Vista
Cheyenne Wells High School, Cheyenne Wells
Kit Carson High School, Kit Carson
Clear Creek High School, Evergreen / Beaver Brook
Antonito High School, Antonito
Centauri High School, La Jara
La Jara Second Chance School, La Jara
Sanford High School, Sanford
Centennial High School, San Louis
Sierra Grande High School, Blanca
Crowley County High School, Ordway
Custer County High School, Westcliffe
Cedaredge High School, Cedaredge
Delta County Opportunity School, Delta
Delta County Virtual Academy, Delta
Delta High School, Delta
Delta Vision School, Delta
Hotchkiss High School, Hotchkiss
North Fork Vision School, Delta
Paonia High School, Paonia
Surface Creek Vision School, Cedaredge
Abraham Lincoln High School, Denver
Academy Of Urban Learning, Denver
Accelerated Schools, Denver
Ace Community Challenge School, Denver
Arrupe Jesuit High School, Denver
Bansbach Academy At Denver Children's Home, Denver
Beth Jacob High School, Denver
Bishop Machebeuf Catholic High School, Denver
Bruce Randolph School, Denver
Cec Middle College Of Denver, Denver
Change Christian Academy, Denver
Collegiate Preparatory Academy, Denver
Colorado High School, Denver
Contemporary Learning Academy High School, Denver
Denver Center for International Studies at Montbello, Denver
Denver Center for International Studies, Denver
Denver Academy, Denver
Denver Center for 21st Learning At Wyman, Denver
Denver Christian Schools, Denver
Denver Online High School, Denver
Denver School of the Arts, Denver
Denver Waldorf School, Denver
Denver School of Science and Technology Cole High School, Denver
Denver School of Science and Technology College View High School, Denver
Denver School of Science and Technology Green Valley Ranch High School, Denver
Denver School of Science and Technology Stapleton High School, Denver
East High School, Denver
Emily Griffith Technical College, Denver
Escuela Tlatelolco School, Denver
Florence Crittenton High School, Denver
George Washington High School, Denver
Gilliam School, Denver
High Tech Early College, Denver
John F. Kennedy High School, Denver
Justice High School Denver, Denver
Kipp Denver Collegiate High School, Denver
Kunsmiller Creative Arts Academy, Denver
Life Skills Center Of Denver, Denver
Love Christian Fellowship Ed, Denver
Manual High School, Denver
Martin Luther King Junior Early College, Denver
Mile High Academy, Denver
Montbello High School, Denver
Mullen High School, Denver
Noel Community Arts School, Denver
North High School, Denver
Rocky Mountain School Of Expeditionary Learning, Denver
Sims Fayola International Academy Denver, Denver
Soar Academy, Denver
South High School, Denver
Southwest Early College, Denver
Strive Prep-Smart Academy, Denver
Summit Academy, Denver
Tennyson Center For Children At Cch, Denver
Thomas Jefferson High School, Denver
Venture Prep High School, Denver
Vista Academy, Denver
West Career Academy
West Generations Academy, Denver
West High School, Denver
West Leadership Academy, Denver
Yeshiva Toras Chaim, Denver
Dove Creek High School, Dove Creek
Castle View High School, Castle Rock
Chaparral High School, Parker
Daniel C Oakes High School—Castle Rock, Castle Rock
Douglas County High School, Castle Rock
Eagle Academy, Highlands Ranch
Highlands Ranch High School, Highlands Ranch
Hope On-line, Englewood
Japanese School Of Denver, Highlands Ranch
Legend High School, Parker
Lutheran High School, Parker
Mountain Vista High School, Highlands Ranch
Ponderosa High School, Parker
Rock Canyon High School, Littleton
Skyview Academy, Highlands Ranch
Stem High School, Highlands Ranch
Thunderridge High School, Highlands Ranch
Valor Christian High School, Highlands Ranch
Battle Mountain High School, Edwards
Eagle Valley High School, Gypsum
New America Charter School, Gypsum
Red Canyon High School, Edwards
Vail Christian School, Edwards
Vail Mountain School, Vail
Vail Ski And Snowboard Academy (ussa, Eagle
World Academy, Eagle
Elbert High School, Elbert
Elizabeth High School, Elizabeth
Frontier High School, Elizabeth
Kiowa High School, Kiowa
Simla High School, Simla
Achievek12, Colorado Springs
Air Academy High School, USAF Academy
Atlas Preparatory High School, Colorado Springs
Aspen Valley High School, Colorado Springs
Banning Lewis Preparatory Academy, Colorado Springs
Calhan High School, Calhan
Cheyenne Mountain High School, Colorado Springs
Civa Charter Academy, Colorado Springs
Colorado School For The Deaf And Blind, Colorado Springs
Colorado Springs Christian, Colorado Springs
Colorado Springs Early Colleges, Colorado Springs
Community Prep Charter School, Colorado Springs
Coronado High School, Colorado Springs
Discovery Canyon Campus School, Colorado Springs
Discovery High School, Colorado Springs
Doherty High School, Colorado Springs
Edison Academy, Yoder
Edison High School, Yoder
Ellicott Senior High School, Ellicott
Falcon High School, Peyton
Falcon Virtual Academy, Falcon
Fountain Valley School Of Colorado, Colorado Springs
Fountain-Fort Carson High School, Fountain
Hanover High School, Colorado Springs
Harrison High School, Colorado Springs
High School Preparatory Academy, Colorado Springs
James Irwin Charter High School, Colorado Springs
Lewis-Palmer High School, Monument
Liberty High School, Colorado Springs
Life Skills Center Of Colorado Springs, Colorado Springs
Lorraine Secondary School, Fountain
Manitou Springs High School, Manitou Springs
Mesa Ridge High, Colorado Springs
Miami-Yoder Senior High School, Rush
Mitchell High School, Colorado Springs
New Horizons Day School Public Colorado Springs, CO
Nikola Tesla Education Opportunity Center, Colorado Springs
Palmer High School, Colorado Springs
Palmer Ridge High School, Monument
Patriot Learning Center, Falcon
Peyton Senior High School, Peyton
Pikes Peak Academy, Colorado Springs
Pikes Peak Christian School, Colorado Springs
Pikes Peak Prep, Colorado Springs
Pine Creek High School, Colorado Springs
Rampart High School, Colorado Springs
Rocky Mountain Montessori Academy, Colorado Springs
Sand Creek High School, Colorado Springs
Sierra High School, Colorado Springs
Spring Creek Youth Services Center, Colorado Springs
St Mary's High School, Colorado Springs
Tca College Pathways, Colorado Springs
The Bijou School, Colorado Springs
The Classical Academy High School, Colorado Springs
The Colorado Springs School, Colorado Springs
The Vanguard School (high), Colorado Springs
Thomas Maclaren State Charter School, Colorado Springs
Vista Ridge High School, Colorado Springs
Wasson High School, Colorado Springs
Widefield High School, Colorado Springs
Calvary Christian School, Canon City
Canon City High School, Canon City
Canon Online Academy, Canon City
Cotopaxi High School, Cotopaxi
Florence Christian School, Florence
Florence High School, Florence
Focus Academy, Florence
Garden Park High School, Canon City
Bridges, Carbondale
Coal Ridge High School, New Castle
Colorado Rocky Mountain School, Carbondale
Glenwood Springs High School, Glenwood Springs
Grand Valley High School, Parachute
Project Rebound, Glenwood Springs
Rifle High School, Rifle
Roaring Fork High School, Carbondale
The Garden School, New Castle
Yampah Mountain School, Glenwood Springs
Yampah Teen Parent Program, Glenwood Springs
Gilpin County Undivided High School, Black Hawk
Middle Park High School, Granby
Mountain Valley Christian Academy, Kremmling
West Grand High School, Kremmling
Winter Park Christian School, Tabernash
Crested Butte Community School, Crested Butte
Gunnison High School, Gunnison
Marble Charter School, Marble
Lake City Community School, Lake City
John Mall High School, Walsenburg
La Veta High School, La Veta
North Park High School, Walden
Alameda International Junior/Senior High School, Lakewood
Arvada High School, Arvada
Arvada West High School, Arvada
Bear Creek High School, Lakewood
Beth Eden Baptist School, Wheat Ridge
Brady Exploration School, Lakewood
Chatfield High School, Littleton
Collegiate Academy Of Colorado, Littleton
Colorado Academy, Denver
Columbine High School, Littleton
Compass Montessori-Golden Charter School, Golden
Conifer Senior High School, Conifer
Connections Learning Center On The Earle Johnson C, Golden
D'evelyn High School, Denver
Dakota Ridge Senior High School, Littleton
Denver Street School, Lakewood
Devereux Cleo Wallace Center, Westminster
Evergreen High School, Evergreen
Excel Academy Charter School, Arvada
Faith Christian Academy, Arvada
Front Range Christian School, Littleton
Golden High School, Golden
Green Mountain High School, Lakewood
Hyland Christian School, Westminster
Jeffco's 21st Century Virtual Academy, Golden
Jefferson Charter Academy Senior High School, Broomfield
Jefferson County Open Secondary, Lakewood
Jefferson High School, Edgewater
Lakewood High School, Lakewood
Longview High School, Lakewood
Manning Options School, Lakewood
McLain High School, Lakewood
Mile High Baptist School, Denver
Miller Special Education, Lakewood
Mountview Youth Service Center, Denver
New America School, Lakewood
Pomona High School, Arvada
Ralston Valley Senior High School, Arvada
Rocky Mountain Deaf School, Golden
Sobesky Academy, Lakewood
Standley Lake High School, Westminster
Summit Ridge Middle School, Littleton
Truth Christian Academy, Littleton
Two Roads Charter School, Wheat Ridge
Warren Occupation Technical Center, Lakewood
Warren Tech North, Arvada
Wheat Ridge High School, Wheat Ridge
Eads High School, Eads
Plainview High School, Sheridan Lake
Bethune High School, Bethune
Burlington High School, Burlington
Flagler Senior High School, Flagler
High Plains Undivided High School, Seibert
Stratton Senior High School, Stratton
Animas High School, Durango
Bayfield High School, Bayfield
Colorado Timberline Academy, Durango
Durango High School, Durango
Grace Preparatory Academy Of Durango, Durango
Ignacio High School, Ignacio
Robert Denier Youth Services Center, Durango
Southwest Colorado E-school, Durango
High Mountain Institute, Leadville
Lake County High School, Leadville
Berthoud High School, Berthoud
Centennial High School, Fort Collins
Colorado Early College Fort Collins, Fort Collins
Cornerstone Christian School, Fort Collins
Discovery Montessori, Fort Collins
Eagle Rock School, Estes Park
Estes Park High School, Estes Park
Estes Park Options School, Estes Park
Fort Collins High School, Fort Collins
Fossil Ridge High School, Fort Collins
Front Range Baptist Academy, Fort Collins
Harold Ferguson High School, Loveland
Heritage Christian Academy, Fort Collins
Leap School, Loveland
Liberty Common Charter School, Fort Collins
Loveland Classical School, Loveland
Loveland High School, Loveland
Mountain View High School, Loveland
Polaris Expeditionary Learning School, Fort Collins
Poudre Community Academy, Fort Collins
Poudre High School, Fort Collins
Psd Global Academy, Fort Collins
Psd Options School, Fort Collins
Reflections For Youth Academy, Loveland
Resurrection Christian School, Loveland
Ridgeview Classical Charter Schools, Fort Collins
Rocky Mountain High School, Fort Collins
Thompson Online, Loveland
Thompson Valley High School, Loveland
Aguilar Junior-senior High School, Aguilar
Branson School Online, Branson
Branson Undivided High School, Branson
Grace Christian Center, Trinidad
Hoehne High School, Trinidad
Holy Trinity Academy, Trinidad
Kim Undivided High School, Kim
Primero Junior-senior High School, Weston
Trinidad High School, Trinidad
Genoa-Hugo High School, Hugo
Karval Junior-senior High School, Karval
Limon High School, Limon
Caliche High School, Iliff
Fleming High School, Fleming
Merino High School, Merino
Peetz High School, Peetz
Smith High School, Sterling
Sterling High School, Sterling
Caprock Academy, Grand Junction
Central High School, Grand Junction
Christian Community School-East Campus, Clifton
De Beque Undivided High School, De Beque
Fruita Monument High School, Fruita
Gateway School, Gateway
Grand Junction High School, Grand Junction
Grand Mesa High School, Collbran
Grand Valley Mennonite School, Loma
Grande River Virtual Academy, Grand Junction
Landmark Baptist School, Grand Junction
Life Academy, Grand Junction
Mesa Valley Vision Home And Community Program, Grand Junction
Palisade High School, Palisade
Pear Park Baptist School, Grand Junction
Plateau Valley High School, Collbran
R-5 High School, Grand Junction
Creede High School, Creede
Moffat County High School, Craig
Dolores High School, Dolores
Lighthouse Christian Academy, Cortez
Mancos High School, Mancos
Montezuma-Cortez High School, Cortez
Southwest Open Charter School, Cortez
Montrose High School, Montrose
Nucla High School, Nucla
Olathe High School, Olathe
Passage Charter School, Montrose
Peak Virtual Academy, Montrose
Vista Charter School, Montrose
Brush High School, Brush
Fort Morgan High School, Fort Morgan
Lincoln High School, Fort Morgan
Weldon Valley High School, Weldona
Wiggins High School, Wiggins
Cbr Youth Connect, La Junta
Cheraw High School, Cheraw
Fowler High School, Fowler
La Junta High School, La Junta
Manzanola High School, Manzanola
Rocky Ford High School, Rocky Ford
Swink High School, Swink
Ouray High School,Ouray
Ridgway High School, Ridgway
Platte Canyon High School, Bailey
South Park High School, Fairplay
Haxtun High School, Haxtun
Holyoke Senior High School, Holyoke
Aspen High School, Aspen
Basalt High School, Basalt
Granada Undivided High School, Granada
Holly High School, Holly
Lamar High School, Lamar
Wiley High School, Wiley
Centennial High School, Pueblo
Central High School, Pueblo
Chavez/Huerta K-12 Preparatory Academy, Pueblo
Dolores Huerta Preparatory High School, Pueblo
Eest High School, Pueblo
Futures Academy Public Pueblo, CO
Parkhill Christian Academy, Pueblo
Pueblo County High School, Pueblo
Pueblo West High School, Pueblo West
Pueblo Youth Service Center, Pueblo
Rye High School, Rye
South High School, Pueblo
Southern Colorado Early College, Pueblo West
St Therese Catholic School, Pueblo
Youth & Family Academy Charter, Pueblo
Meeker High School, Meeker
Rangely High School, Rangely
Byron Syring Delta Center, Monte Vista
Del Norte High School, Del Norte
Monte Vista Senior High School, Monte Vista
Monte Vista Shared School, Monte Vista
Sargent Senior High School, Monte Vista
Christian Heritage School, Steamboat Springs
Hayden High School, Hayden
Lowell Whiteman School, Steamboat Springs
Soroco High School, Oak Creek
Steamboat Springs High School, Steamboat Springs
Yampa Valley School, Steamboat Springs
Center High School, Center
Center Virtual Academy, Center
Crestone Charter School, Crestone
Moffat Senior High School. Moffat
Mountain Valley Senior High School, Saguache
The Academic Recovery Center Of San Luis Valley, Center
Silverton High School, Silverton
Norwood High School, Norwood
Telluride High School, Telluride
Telluride Mountain School, Telluride
Julesburg High School, Julesburg
Revere High School, Ovid
Snowy Peaks High School, Frisco
Summit High School, Frisco
Cripple Creek-victor High School, Cripple Creek
Woodland Park High School, Woodland Park
Akron High School, Akron
Arickaree Undivided High School, Anton
Lone Star Undivided High School, Otis
Otis High School, Otis
Woodlin Undivided High School, Woodrow
Briggsdale Undivided High School, Briggsdale
Cameron School, Greeley
Centennial Boces High School, Greeley
Dayspring Christian Academy, Greeley
Eaton High School, Eaton
Erie High School, Erie
Fort Lupton High School, Fort Lupton
Frederick Senior High School, Frederick
Frontier Charter Academy, Greeley
Greeley Central High School, Greeley
Greeley West High School, Greeley
Highland High School, Ault
Innovative Connections High School, Greeley
Jefferson High School, Greeley
Mead High School, Longmont
Northridge High School, Greeley
Pawnee High School, Grover
Platte Valley High School, Kersey
Prairie High School, New Raymer
Roosevelt High School, Johnstown
Union Colony Preparatory School, Greeley
University Schools, Greeley
Valley High School, Gilcrest
Vista Ridge Academy, Erie
Weld Central Senior High School, Keenesburg
West Ridge Academy, Greeley
Windsor High School, Windsor
Idalia High School, Idalia
Liberty High School, Joes
Wray High School, Wray
Yuma High School, Yuma
